board_representation,random_agent_final_score_20_gen,random_agent_final_score_50_gen,maximizing_neighbors_agent_final_score_20_gen,maximizing_neighbors_agent_final_score_50_gen,minimizing_neighbors_agent_final_score_20_gen,minimizing_neighbors_agent_final_score_50_gen,idealizing_neighbors_agent_final_score_20_gen,idealizing_neighbors_agent_final_score_50_gen,without_agent_final_score_20_gen,without_agent_final_score_50_gen,is_infinite_without_interference
"| width: 5, height: 5, live_cells: {(4, 4), (0, 1), (2, 4), (4, 0), (0, 4), (2, 1), (3, 4), (4, 3), (3, 1), (1, 1), (2, 0), (1, 4), (2, 3), (0, 2), (3, 3), (2, 2), (3, 2), (1, 3)} |",0,0,0,0,0,0,10,16,0,0,False
"| width: 5, height: 5, live_cells: {(4, 0), (3, 4), (3, 1), (0, 2), (2, 2), (1, 0), (1, 3), (4, 2), (3, 0), (3, 3), (2, 4), (1, 2), (0, 4), (2, 1), (4, 1), (4, 4), (0, 0), (1, 1), (0, 3), (2, 0), (1, 4), (2, 3)} |",0,0,0,0,0,0,11,14,0,0,False
"| width: 5, height: 5, live_cells: {(4, 4), (2, 4), (0, 4), (2, 1), (0, 0), (0, 3), (2, 0), (4, 2), (2, 3), (0, 2), (3, 3), (3, 2)} |",1,0,8,8,4,4,16,16,0,0,False
"| width: 5, height: 5, live_cells: {(1, 2), (2, 1), (1, 4), (3, 0), (2, 3), (2, 2), (1, 3)} |",3,0,7,4,0,0,12,12,0,0,False
"| width: 5, height: 5, live_cells: {(0, 2), (4, 1), (2, 1), (4, 2)} |",0,0,8,8,0,0,13,13,0,0,False
"| width: 5, height: 5, live_cells: {(4, 4), (1, 3), (0, 1), (1, 2), (4, 0), (2, 1), (3, 4), (0, 0), (2, 0), (4, 2), (3, 0), (0, 2), (3, 3), (2, 2), (4, 1)} |",4,0,8,8,0,0,14,11,4,4,True
"| width: 5, height: 5, live_cells: {(1, 2), (4, 3), (1, 1), (0, 3), (1, 4), (3, 0), (4, 2), (3, 3), (4, 1)} |",7,0,12,6,4,4,14,14,0,0,False
"| width: 5, height: 5, live_cells: {(0, 1), (4, 4), (2, 4), (0, 4), (2, 1), (0, 0), (4, 3), (0, 3), (4, 1)} |",2,0,8,8,0,0,11,14,0,0,False
"| width: 5, height: 5, live_cells: {(4, 0), (4, 3), (2, 0), (3, 0), (2, 3), (3, 2)} |",0,0,4,2,0,0,12,16,6,6,True
"| width: 5, height: 5, live_cells: {(4, 0), (3, 4), (4, 3), (3, 1), (0, 2), (2, 2), (1, 0), (1, 3), (4, 2), (3, 0), (3, 3), (0, 1), (2, 4), (1, 2), (0, 4), (2, 1), (4, 1), (0, 0), (0, 3), (1, 4), (2, 3)} |",6,0,0,0,0,0,12,12,0,0,False
"| width: 5, height: 5, live_cells: {(4, 4), (1, 2), (4, 0), (3, 4), (4, 3), (3, 1), (1, 1), (0, 3), (3, 0), (3, 3), (1, 0), (3, 2), (1, 3)} |",0,0,7,7,4,4,15,14,0,0,False
"| width: 5, height: 5, live_cells: {(1, 3), (2, 4), (4, 0), (0, 4), (3, 4), (2, 1), (0, 0), (4, 3), (1, 1), (0, 3), (1, 4), (4, 2), (2, 3), (0, 2), (3, 3), (1, 0), (3, 2), (4, 1)} |",0,0,0,0,0,0,13,14,0,0,False
"| width: 5, height: 5, live_cells: {(4, 0), (3, 4), (4, 3), (3, 1), (0, 2), (2, 2), (1, 0), (1, 3), (4, 2), (3, 0), (3, 3), (0, 1), (2, 4), (1, 2), (0, 4), (4, 1), (0, 0), (1, 1), (0, 3), (2, 0), (2, 3)} |",7,0,0,0,0,0,18,12,0,0,False
