life_at_0_0,life_at_0_1,life_at_0_2,life_at_0_3,life_at_0_4,life_at_1_0,life_at_1_1,life_at_1_2,life_at_1_3,life_at_1_4,life_at_2_0,life_at_2_1,life_at_2_2,life_at_2_3,life_at_2_4,life_at_3_0,life_at_3_1,life_at_3_2,life_at_3_3,life_at_3_4,life_at_4_0,life_at_4_1,life_at_4_2,life_at_4_3,life_at_4_4,num_alive,ideal_neighbors_heuristic,max_neighbors_heuristic,min_neighbors_heuristic,life_span_class
True,True,False,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,True,12,19,61,0.01639344262295082,0
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,5,6,26,0.038461538461538464,0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,5,4,26,0.038461538461538464,0
True,False,True,False,False,False,False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,9,12,53,0.018867924528301886,0
False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,4,6,26,0.038461538461538464,0
True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,20,9,112,0.008928571428571428,0
False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,False,False,False,False,False,True,True,True,True,10,13,52,0.019230769230769232,2
False,False,False,True,False,True,False,False,False,True,False,False,True,True,True,True,True,False,True,True,False,True,False,False,True,12,13,70,0.014285714285714285,0
True,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False,True,False,True,True,True,True,False,True,False,16,11,95,0.010526315789473684,0
True,True,False,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,19,7,110,0.00909090909090909,0
False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,True,False,True,True,False,10,17,60,0.016666666666666666,0
False,True,True,True,True,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False,True,True,True,False,True,13,12,71,0.014084507042253521,0
True,True,True,False,True,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True,True,False,True,False,14,9,76,0.013157894736842105,2
True,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,True,True,True,False,True,True,True,True,True,16,8,87,0.011494252873563218,2
True,True,False,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,False,18,10,107,0.009345794392523364,0
True,True,False,False,True,True,True,True,False,True,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True,16,10,84,0.011904761904761904,1
False,True,False,False,True,False,True,False,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,True,10,16,58,0.017241379310344827,0
False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,21,5,123,0.008130081300813009,0
False,True,True,True,True,True,False,True,True,False,False,False,True,False,False,True,True,True,False,True,False,True,True,False,False,14,10,83,0.012048192771084338,0
False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,True,17,10,96,0.010416666666666666,2
True,True,False,True,False,False,False,False,True,False,True,False,False,True,True,False,True,True,True,False,True,False,True,False,False,12,11,71,0.014084507042253521,1
False,False,True,True,True,False,False,True,True,False,True,False,True,True,True,True,True,True,False,True,False,False,True,True,True,16,9,94,0.010638297872340425,0
True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,True,False,11,15,55,0.01818181818181818,2
False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,True,False,True,True,True,True,11,11,65,0.015384615384615385,0
True,True,True,False,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False,True,15,11,79,0.012658227848101266,0
True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,22,5,126,0.007936507936507936,0
False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False,True,True,9,17,50,0.02,0
False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,6,8,31,0.03225806451612903,2
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,3,0,16,0.0625,0
False,True,True,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,False,True,False,True,True,14,9,80,0.0125,2
True,True,False,True,True,False,False,False,True,True,True,False,True,False,True,True,True,True,False,False,False,False,True,False,True,14,13,76,0.013157894736842105,0
True,False,True,True,True,False,False,True,False,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,True,13,13,68,0.014705882352941176,2
True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,6,8,31,0.03225806451612903,0
True,False,False,False,True,False,False,True,True,True,False,True,False,True,False,False,True,False,True,True,True,True,True,True,True,15,12,85,0.011764705882352941,0
True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False,True,True,20,5,118,0.00847457627118644,0
False,True,True,False,True,True,True,False,True,False,True,True,False,True,False,True,True,False,True,False,False,False,False,True,True,14,16,84,0.011904761904761904,0
True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,8,12,47,0.02127659574468085,1
True,True,True,False,False,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,20,9,115,0.008695652173913044,0
True,True,True,False,True,False,False,True,True,True,True,False,True,True,False,True,False,True,True,True,True,False,False,True,False,16,11,92,0.010869565217391304,2
False,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,20,8,119,0.008403361344537815,0
True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,True,False,False,True,True,18,10,102,0.00980392156862745,0
True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,22,5,129,0.007751937984496124,0
True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False,True,True,15,10,82,0.012195121951219513,0
False,False,True,False,True,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,13,14,76,0.013157894736842105,2
True,True,True,False,True,True,True,True,True,True,False,True,True,False,False,True,False,True,True,True,True,False,True,True,True,19,7,108,0.009259259259259259,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,5,5,23,0.043478260869565216,0
False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,7,10,34,0.029411764705882353,0
True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,18,10,106,0.009433962264150943,0
False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,True,False,False,True,False,True,False,True,False,9,16,54,0.018518518518518517,2
False,True,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,False,19,9,109,0.009174311926605505,2
False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,5,9,37,0.02702702702702703,2
False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,6,7,31,0.03225806451612903,0
True,False,True,False,True,True,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,18,6,103,0.009708737864077669,0
False,False,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,20,8,115,0.008695652173913044,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,2,15,0.06666666666666667,0
True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,21,7,123,0.008130081300813009,0
