life_at_0_0,life_at_0_1,life_at_0_2,life_at_0_3,life_at_0_4,life_at_1_0,life_at_1_1,life_at_1_2,life_at_1_3,life_at_1_4,life_at_2_0,life_at_2_1,life_at_2_2,life_at_2_3,life_at_2_4,life_at_3_0,life_at_3_1,life_at_3_2,life_at_3_3,life_at_3_4,life_at_4_0,life_at_4_1,life_at_4_2,life_at_4_3,life_at_4_4,num_alive,ideal_neighbors_heuristic,max_neighbors_heuristic,min_neighbors_heuristic,is_infinite
False,True,True,False,True,True,False,True,False,True,True,True,True,True,False,False,False,True,False,True,False,True,False,True,True,15,12,86,0.011627906976744186,False
True,False,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,18,8,97,0.010309278350515464,False
False,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,7,12,38,0.02631578947368421,False
False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,True,True,False,False,False,True,False,10,16,65,0.015384615384615385,True
True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,False,True,False,True,False,17,10,99,0.010101010101010102,False
True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,20,7,115,0.008695652173913044,False
True,False,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,True,True,False,True,True,False,16,11,89,0.011235955056179775,True
False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,True,False,True,True,True,False,True,11,13,60,0.016666666666666666,False
False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,6,9,30,0.03333333333333333,True
True,True,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,11,19,57,0.017543859649122806,False
True,False,True,False,False,False,False,True,True,True,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,11,13,65,0.015384615384615385,False
False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,6,9,32,0.03125,False
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,22,6,126,0.007936507936507936,False
True,False,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,False,True,False,True,17,7,106,0.009433962264150943,False
True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,5,7,27,0.037037037037037035,True
True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,True,False,True,False,True,False,True,False,True,16,10,93,0.010752688172043012,True
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,0,8,0.125,False
False,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,7,12,44,0.022727272727272728,True
True,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,True,True,True,False,False,False,True,False,11,16,68,0.014705882352941176,True
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,23,5,136,0.007352941176470588,False
True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,6,12,37,0.02702702702702703,True
False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,7,10,43,0.023255813953488372,False
True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,18,8,107,0.009345794392523364,False
False,False,False,False,True,False,True,True,True,True,True,False,True,True,True,True,False,False,False,True,False,True,False,True,True,14,11,81,0.012345679012345678,True
False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,False,True,False,False,False,True,True,True,True,True,16,10,92,0.010869565217391304,False
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,3,3,19,0.05263157894736842,False
True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,20,6,113,0.008849557522123894,False
True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,4,6,24,0.041666666666666664,False
False,False,False,True,True,True,False,True,True,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False,True,11,12,64,0.015625,True
True,False,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,19,8,110,0.00909090909090909,True
False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,6,10,45,0.022222222222222223,True
True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,True,True,False,False,True,True,True,True,False,16,10,91,0.01098901098901099,False
True,True,False,False,True,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,True,True,False,True,True,12,13,55,0.01818181818181818,False
True,True,True,False,False,True,True,False,True,False,True,False,True,True,True,True,True,True,True,False,True,True,False,False,True,17,7,100,0.01,False
True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,True,True,False,20,8,120,0.008333333333333333,False
False,True,False,False,True,False,True,False,False,True,False,True,False,True,True,True,True,True,True,True,False,False,True,True,False,14,9,86,0.011627906976744186,False
False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,True,True,True,True,11,14,60,0.016666666666666666,False
True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,20,7,120,0.008333333333333333,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,2,2,13,0.07692307692307693,False
False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,True,False,False,True,False,True,False,True,False,True,13,13,71,0.014084507042253521,False
False,False,True,True,True,True,True,False,False,False,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,17,11,96,0.010416666666666666,False
True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,False,True,False,True,True,True,True,18,7,108,0.009259259259259259,False
True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,20,4,113,0.008849557522123894,False
True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,5,6,24,0.041666666666666664,False
False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,4,5,21,0.047619047619047616,False
True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,6,10,28,0.03571428571428571,True
False,True,False,True,True,True,False,True,False,False,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,13,14,71,0.014084507042253521,False
False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,4,7,29,0.034482758620689655,True
